顧客ID,購買金額,購買金額平均,購買金額Mランク,購買頻度,購買頻度平均,購買頻度Fランク,最新購買日,最新購買日Rランク,新規顧客,人数
C110630,1622,1622,M1,1,1,F1,2019/5/1,R1,Yes,1
C110710,37,37,M1,1,1,F1,2019/5/1,R1,Yes,1
C108716,8573,8573,M2,2,2,F1,2019/5/1,R1,No,1
C110678,10968,10968,M3,1,1,F1,2019/5/1,R1,Yes,1
C113842,10344,10344,M3,2,2,F1,2019/5/1,R1,No,1
C113282,4912,4912,M1,2,2,F1,2019/5/2,R1,No,1
C114814,4901,4901,M1,2,2,F1,2019/5/2,R1,No,1
C103684,9277,9277,M2,3,3,F2,2019/5/2,R1,No,1
C108370,6085,6085,M2,2,2,F1,2019/5/2,R1,No,1
C109030,5762,5762,M2,2,2,F1,2019/5/2,R1,No,1
C110606,7119,7119,M2,2,2,F1,2019/5/2,R1,No,1
C108538,17899,17899,M3,2,2,F1,2019/5/2,R1,No,1
C108692,17867,17867,M3,2,2,F1,2019/5/2,R1,No,1
C108988,11136,11136,M3,2,2,F1,2019/5/2,R1,No,1
C109588,11211,11211,M3,2,2,F1,2019/5/2,R1,No,1
C110734,12943,12943,M3,2,2,F1,2019/5/2,R1,No,1
C111006,12892,12892,M3,2,2,F1,2019/5/2,R1,No,1
C112404,14716,14716,M3,2,2,F1,2019/5/2,R1,No,1
C112662,19850,19850,M3,2,2,F1,2019/5/2,R1,No,1
C114128,10966,10966,M3,2,2,F1,2019/5/2,R1,No,1
C114524,19866,19866,M3,2,2,F1,2019/5/2,R1,No,1
C108630,20836,20836,M4,2,2,F1,2019/5/2,R1,No,1
C112502,22793,22793,M4,2,2,F1,2019/5/2,R1,No,1
C112598,24026,24026,M4,2,2,F1,2019/5/2,R1,No,1
C109862,33554,33554,M5,2,2,F1,2019/5/2,R1,No,1
C109400,1796,1796,M1,2,2,F1,2019/5/3,R1,No,1
C109848,4102,4102,M1,2,2,F1,2019/5/3,R1,No,1
C110180,406,406,M1,2,2,F1,2019/5/3,R1,No,1
C111960,1328,1328,M1,2,2,F1,2019/5/3,R1,No,1
C113784,1176,1176,M1,2,2,F1,2019/5/3,R1,No,1
C110474,8533,8533,M2,2,2,F1,2019/5/3,R1,No,1
C113468,6296,6296,M2,2,2,F1,2019/5/3,R1,No,1
C113662,7068,7068,M2,2,2,F1,2019/5/3,R1,No,1
C109072,17354,17354,M3,2,2,F1,2019/5/3,R1,No,1
C112272,13255,13255,M3,2,2,F1,2019/5/3,R1,No,1
C107786,27072,27072,M4,2,2,F1,2019/5/3,R1,No,1
C109748,27073,27073,M4,2,2,F1,2019/5/3,R1,No,1
C111612,22246,22246,M4,2,2,F1,2019/5/3,R1,No,1
C114402,29102,29102,M4,2,2,F1,2019/5/3,R1,No,1
C100432,32322,32322,M5,4,4,F3,2019/5/3,R1,No,1
C102400,37434,37434,M5,3,3,F2,2019/5/3,R1,No,1
C114546,37581,37581,M5,2,2,F1,2019/5/3,R1,No,1
C107196,4002,4002,M1,3,3,F2,2019/5/4,R1,No,1
C108154,986,986,M1,2,2,F1,2019/5/4,R1,No,1
C108654,3801,3801,M1,2,2,F1,2019/5/4,R1,No,1
C109534,3122,3122,M1,2,2,F1,2019/5/4,R1,No,1
C110704,4877,4877,M1,1,1,F1,2019/5/4,R1,Yes,1
C111072,1812,1812,M1,2,2,F1,2019/5/4,R1,No,1
C111530,3595,3595,M1,2,2,F1,2019/5/4,R1,No,1
C113740,4896,4896,M1,2,2,F1,2019/5/4,R1,No,1
C114124,4319,4319,M1,2,2,F1,2019/5/4,R1,No,1
C107894,9457,9457,M2,2,2,F1,2019/5/4,R1,No,1
C110690,6282,6282,M2,1,1,F1,2019/5/4,R1,Yes,1
C110932,6099,6099,M2,2,2,F1,2019/5/4,R1,No,1
C112942,7731,7731,M2,2,2,F1,2019/5/4,R1,No,1
C113222,9077,9077,M2,2,2,F1,2019/5/4,R1,No,1
C114306,8845,8845,M2,2,2,F1,2019/5/4,R1,No,1
C114602,6822,6822,M2,2,2,F1,2019/5/4,R1,No,1
C105896,11354,11354,M3,3,3,F2,2019/5/4,R1,No,1
C108330,12094,12094,M3,2,2,F1,2019/5/4,R1,No,1
C108866,16128,16128,M3,2,2,F1,2019/5/4,R1,No,1
C109146,11226,11226,M3,2,2,F1,2019/5/4,R1,No,1
C109490,13291,13291,M3,2,2,F1,2019/5/4,R1,No,1
C110948,19292,19292,M3,2,2,F1,2019/5/4,R1,No,1
C111354,11031,11031,M3,2,2,F1,2019/5/4,R1,No,1
C112060,19165,19165,M3,2,2,F1,2019/5/4,R1,No,1
C112118,13924,13924,M3,2,2,F1,2019/5/4,R1,No,1
C112240,17773,17773,M3,2,2,F1,2019/5/4,R1,No,1
C112924,19923,19923,M3,2,2,F1,2019/5/4,R1,No,1
C113300,16513,16513,M3,2,2,F1,2019/5/4,R1,No,1
C114006,18860,18860,M3,2,2,F1,2019/5/4,R1,No,1
C114490,16043,16043,M3,2,2,F1,2019/5/4,R1,No,1
C102450,20880,20880,M4,3,3,F2,2019/5/4,R1,No,1
C102520,20454,20454,M4,3,3,F2,2019/5/4,R1,No,1
C106238,26561,26561,M4,3,3,F2,2019/5/4,R1,No,1
C109834,20409,20409,M4,2,2,F1,2019/5/4,R1,No,1
C111074,22765,22765,M4,2,2,F1,2019/5/4,R1,No,1
C112592,21898,21898,M4,2,2,F1,2019/5/4,R1,No,1
C113524,21902,21902,M4,2,2,F1,2019/5/4,R1,No,1
C114658,29889,29889,M4,2,2,F1,2019/5/4,R1,No,1
C109284,4181,4181,M1,2,2,F1,2019/5/5,R1,No,1
C112456,3161,3161,M1,2,2,F1,2019/5/5,R1,No,1
C112516,3612,3612,M1,2,2,F1,2019/5/5,R1,No,1
C114220,3004,3004,M1,2,2,F1,2019/5/5,R1,No,1
C107818,9964,9964,M2,2,2,F1,2019/5/5,R1,No,1
C110462,9298,9298,M2,2,2,F1,2019/5/5,R1,No,1
C112224,7681,7681,M2,2,2,F1,2019/5/5,R1,No,1
C113010,7007,7007,M2,2,2,F1,2019/5/5,R1,No,1
C113454,8685,8685,M2,2,2,F1,2019/5/5,R1,No,1
C113492,6175,6175,M2,2,2,F1,2019/5/5,R1,No,1
C114042,9689,9689,M2,2,2,F1,2019/5/5,R1,No,1
C102958,18508,18508,M3,3,3,F2,2019/5/5,R1,No,1
C103734,17303,17303,M3,3,3,F2,2019/5/5,R1,No,1
C104536,15649,15649,M3,3,3,F2,2019/5/5,R1,No,1
C105754,14667,14667,M3,3,3,F2,2019/5/5,R1,No,1
C107112,19052,19052,M3,3,3,F2,2019/5/5,R1,No,1
C108006,14603,14603,M3,2,2,F1,2019/5/5,R1,No,1
C108250,15129,15129,M3,2,2,F1,2019/5/5,R1,No,1
C109124,10092,10092,M3,2,2,F1,2019/5/5,R1,No,1
C110550,11800,11800,M3,2,2,F1,2019/5/5,R1,No,1
C110616,10938,10938,M3,1,1,F1,2019/5/5,R1,Yes,1
C110670,14300,14300,M3,1,1,F1,2019/5/5,R1,Yes,1
C111190,15858,15858,M3,2,2,F1,2019/5/5,R1,No,1
C111674,16923,16923,M3,2,2,F1,2019/5/5,R1,No,1
C111926,11779,11779,M3,2,2,F1,2019/5/5,R1,No,1
C113782,16975,16975,M3,2,2,F1,2019/5/5,R1,No,1
C113910,15673,15673,M3,2,2,F1,2019/5/5,R1,No,1
C108030,20291,20291,M4,2,2,F1,2019/5/5,R1,No,1
C110564,23669,23669,M4,2,2,F1,2019/5/5,R1,No,1
C110636,20254,20254,M4,1,1,F1,2019/5/5,R1,Yes,1
C111122,20194,20194,M4,2,2,F1,2019/5/5,R1,No,1
C113414,29178,29178,M4,2,2,F1,2019/5/5,R1,No,1
C113516,23374,23374,M4,2,2,F1,2019/5/5,R1,No,1
C113920,21987,21987,M4,2,2,F1,2019/5/5,R1,No,1
C114140,24656,24656,M4,2,2,F1,2019/5/5,R1,No,1
C109786,34175,34175,M5,2,2,F1,2019/5/5,R1,No,1
C111092,32035,32035,M5,2,2,F1,2019/5/5,R1,No,1
C114238,35975,35975,M5,2,2,F1,2019/5/5,R1,No,1
C108562,3581,3581,M1,2,2,F1,2019/5/6,R1,No,1
C108662,941,941,M1,2,2,F1,2019/5/6,R1,No,1
C109362,2761,2761,M1,2,2,F1,2019/5/6,R1,No,1
C109520,1391,1391,M1,2,2,F1,2019/5/6,R1,No,1
C110666,2655,2655,M1,1,1,F1,2019/5/6,R1,Yes,1
C110674,4608,4608,M1,1,1,F1,2019/5/6,R1,Yes,1
C111160,4129,4129,M1,2,2,F1,2019/5/6,R1,No,1
C111828,969,969,M1,2,2,F1,2019/5/6,R1,No,1
C112150,994,994,M1,2,2,F1,2019/5/6,R1,No,1
C112318,1586,1586,M1,2,2,F1,2019/5/6,R1,No,1
C113460,1908,1908,M1,2,2,F1,2019/5/6,R1,No,1
C113558,3127,3127,M1,2,2,F1,2019/5/6,R1,No,1
C114100,423,423,M1,2,2,F1,2019/5/6,R1,No,1
C114176,1426,1426,M1,2,2,F1,2019/5/6,R1,No,1
C105872,6072,6072,M2,3,3,F2,2019/5/6,R1,No,1
C108674,8346,8346,M2,2,2,F1,2019/5/6,R1,No,1
C109216,7138,7138,M2,2,2,F1,2019/5/6,R1,No,1
C110088,5575,5575,M2,2,2,F1,2019/5/6,R1,No,1
C110348,9953,9953,M2,2,2,F1,2019/5/6,R1,No,1
C110692,5015,5015,M2,1,1,F1,2019/5/6,R1,Yes,1
C111600,5412,5412,M2,2,2,F1,2019/5/6,R1,No,1
C112964,5898,5898,M2,2,2,F1,2019/5/6,R1,No,1
C113602,9962,9962,M2,2,2,F1,2019/5/6,R1,No,1
C103184,14208,14208,M3,3,3,F2,2019/5/6,R1,No,1
C105438,15805,15805,M3,3,3,F2,2019/5/6,R1,No,1
C105586,16365,16365,M3,3,3,F2,2019/5/6,R1,No,1
C105734,14153,14153,M3,3,3,F2,2019/5/6,R1,No,1
C105926,13399,13399,M3,3,3,F2,2019/5/6,R1,No,1
C105954,18506,18506,M3,3,3,F2,2019/5/6,R1,No,1
C109312,19494,19494,M3,2,2,F1,2019/5/6,R1,No,1
C110258,12490,12490,M3,2,2,F1,2019/5/6,R1,No,1
C110392,11721,11721,M3,2,2,F1,2019/5/6,R1,No,1
C110794,18541,18541,M3,2,2,F1,2019/5/6,R1,No,1
C111140,19840,19840,M3,2,2,F1,2019/5/6,R1,No,1
C111718,13533,13533,M3,2,2,F1,2019/5/6,R1,No,1
C111976,14339,14339,M3,2,2,F1,2019/5/6,R1,No,1
C112002,13215,13215,M3,2,2,F1,2019/5/6,R1,No,1
C112560,14730,14730,M3,2,2,F1,2019/5/6,R1,No,1
C112724,14602,14602,M3,2,2,F1,2019/5/6,R1,No,1
C112876,16491,16491,M3,2,2,F1,2019/5/6,R1,No,1
